genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,row_id,accession,ambiguous_bases,checkm2_completeness,checkm2_contamination,checkm2_model,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation_ncbi_taxa,gtdb_type_designation_ncbi_taxa_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,taxid_match,name_only_match,tempura_name_norm,tempura_binomial,ncbi_taxid,gtdb_name_norm
Acidianus ambivalens,2283,Lei 10,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_009729015.1,70,80,NA,NA,87,17,3,RS_GCF_009729015.1,0,99.9,0.61,Specific,99.4,0,217,c__Thermoprotei (UID147),168,0,2012416,89.3602074930718,1,770935,34.23293770456571,2252027,RS_GCF_009729015.1,TRUE,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens,type strain of species,LPSN,FALSE,1,1,2252027,2252027,2252027,1,3019,NZ_CP045482.1,2252027,1,86,NZ_CP045482.1,3019,5437,0,99.172,CP002535.1297744.1300781,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,2252027,2252027,TRUE,FALSE,FALSE,2252027,2252027,Complete Genome,ASM972901v1,na,PRJNA224116,SAMN09933089,none,none,Iceland: Leihnukur fissure,2019-12-04,GCA_009729015.1,none,full,na,Solfataric mud from Leihnukur fissure in Iceland,none,1,0,Acidianus ambivalens,none,representative genome,3,1,1,2252027,2252027,2252027,2019-12-04,0,2283,1,LEI 10,North Carolina State University,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens,0,2252027,11,47,assembly from type material,2252027,0,na,2647,1,2252027,1,none,none,none,none,none,none,1498,NZ_CP045482.1,1498,2728,0,99.533,CP002535.1296061.1297559,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,0,19,47,0,TRUE,FALSE,NA,NA,NA,NA
Acidianus ambivalens,2283,Lei 10,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_009729015.1,70,80,NA,NA,87,17,3,RS_GCF_009428885.1,0,99.91,0.72,Specific,99.4,0,217,c__Thermoprotei (UID147),168,0,2067977,88.87109250775697,65,799687,34.36646411166597,2326940,RS_GCF_009729015.1,FALSE,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens,type strain of species,LPSN,FALSE,1,1,1228068,1228068,1228068,1,3019,NZ_WHYS01000001.1,1228068,1,86,NZ_WHYS01000001.1,3019,5437,0,99.172,CP002535.1297744.1300781,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,35799,35799,TRUE,FALSE,FALSE,1228068,1228068,Contig,ASM942888v1,na,PRJNA224116,SAMN13103967,65,1228068,Iceland,2019-10-30,GCA_009428885.1,none,full,na,continental solfataric fields,none,0,0,Acidianus ambivalens,none,na,3,none,none,none,none,none,2019-10-30,0,2283,1,DSM 3772,Harvard University,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus ambivalens,0,2326940,11,47,assembly from type material,2326940,0,WHYS00000000.1,2769,65,1228068,1,none,none,none,none,none,none,1498,NZ_WHYS01000001.1,1498,2728,0,99.533,CP002535.1296061.1297559,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,0,19,47,0,TRUE,FALSE,NA,NA,NA,NA
Acidianus brierleyi,41673,DSM 3191,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_003201835.1,45,70,NA,NA,75,30,4,RS_GCF_003201835.2,0,100,0.55,Specific,100,1.19,217,c__Thermoprotei (UID147),168,0,2547003,86.41982136531621,1,940248,31.902618174810097,2947244,RS_GCF_003201835.2,TRUE,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Aramenus;s__Aramenus brierleyi,type strain of species,LPSN,FALSE,1,1,2947244,2947244,2947244,1,3025,NZ_CP029289.2,none,0,none,none,2898,5341,0,99.931,CP029289.1990222.1993119,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus brierleyi,2947244,2947244,FALSE,FALSE,TRUE,2947244,2947244,Complete Genome,ASM320183v2,na,PRJNA224116,SAMN09071529,none,none,USA: Yellowstone National Park; Wyoming,2020-03-10,GCA_003201835.2,none,full,na,drainage system from an acidic hot spring,none,1,0,Acidianus brierleyi,3120,representative genome,3,1,1,2947244,2947244,2947244,2020-03-10,0,41673,1,DSM 1651,North Carolina State University,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus brierleyi,0,2947244,11,46,assembly from type material,2947244,0,na,3263,1,2947244,1,none,none,none,none,none,none,1496,NZ_CP029289.2,1496,2756,0,99.933,CP029289.1988507.1990007,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus brierleyi,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Acidianus infernus,12915,So4a,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,NA,65,90,NA,NA,96,31,5,RS_GCF_009729545.1,0,99.98,0.41,Specific,100,0,217,c__Thermoprotei (UID147),168,0,1957922,88.0988870660462,4,763676,34.36245452017491,2222414,RS_GCF_009729545.1,TRUE,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,type strain of species,LPSN,TRUE,1,1,2186600,2186600,2186600,1,3019,NZ_WFIY01000004.1,2186600,1,92,NZ_WFIY01000004.1,3019,5393,0,98.907,CP002535.1297744.1300781,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,555603,555603,TRUE,FALSE,FALSE,2186600,2186600,Contig,ASM972954v1,na,PRJNA224116,SAMN09933090,4,2186600,Italy: Pisciarelli Solfatara; Naples,2019-12-04,GCA_009729545.1,none,full,na,fissure at Pisciarelli solfatara near Naples; Italy,none,0,0,Acidianus infernus,none,representative genome,3,none,none,none,none,none,2019-12-04,0,12915,1,DSM 3191,North Carolina State University,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,0,2222414,11,46,assembly from type material,2222414,0,WFIY00000000.1,2443,4,2186600,1,none,none,none,none,none,none,1498,NZ_WFIY01000004.1,1498,2712,0,99.332,CP002535.1296061.1297559,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Acidianus infernus,12915,So4a,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,NA,65,90,NA,NA,96,31,5,GB_GCA_026626965.1,0,72.65,0.06,Specific,68.45,0,217,c__Thermoprotei (UID147),168,0,1072256,91.92228591807324,85,396858,34.02181432873746,1166481,RS_GCF_009729545.1,FALSE,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,not type material,none,FALSE,17,17,93650,93650,40807,2,3025,JAPNUV010000060.1,22603,1,85,JAPNUV010000018.1,2992,3895,0,90.341,CP017006.280956.283935,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus sp. A20,13723,13723,FALSE,FALSE,TRUE,21011,21011,Contig,ASM2662696v1,na,PRJNA889931,SAMN31719900,85,21011,Italy: Naples; Campi Flegrei; Pisciarelli hydrothermal system,2022-12-04,GCA_026626965.1,derived from metagenome,full,CF.Pisc.bin.9,acidic hydrothermal system,40.82949 N 14.14728 E,0,0,Acidianus infernus,none,na,4,none,none,none,none,none,2022-12-04,0,12915,1,CF.Pisc.bin.9,Rutgers University,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,0,1166481,11,27,na,1166481,0,JAPNUV000000000.1,1410,85,40807,1,none,none,none,none,none,none,1496,JAPNUV010000060.1,1501,2505,0,96.869,CP002535.1296061.1297559,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,0,14,28,0,TRUE,FALSE,NA,NA,NA,NA
Acidianus infernus,12915,So4a,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,NA,65,90,NA,NA,96,31,5,RS_GCF_041748595.1,0,94.82,0.11,Specific,99.4,0.2,217,c__Thermoprotei (UID147),168,0,1515756,89.00546802333776,132,579810,34.04654866258914,1702992,RS_GCF_009729545.1,FALSE,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,not type material,none,FALSE,17,17,128011,128011,128011,1,3019,NZ_JBGTCZ010000039.1,8341,1,85,NZ_JBGTCZ010000126.1,3020,5299,0,98.344,CP002535.1297744.1300781,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,12901,12901,TRUE,FALSE,FALSE,22189,22189,Contig,ASM4174859v1,na,PRJNA224116,SAMN41306070,132,22189,none,2024-09-04,GCA_041748595.1,derived from metagenome,full,Re.bin.131,none,none,0,0,Acidianus infernus,none,na,3,none,none,none,none,none,2024-09-04,0,12915,1,Re.bin.131,Rutgers University,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus infernus,0,1702992,11,44,na,1702992,0,JBGTCZ000000000.1,2056,132,128011,1,none,none,none,none,none,none,1498,NZ_JBGTCZ010000039.1,1498,2700,0,99.199,CP002535.1296061.1297559,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Acidianus manzaensis,282676,NA-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_002116695.1,60,80,NA,NA,90,30,6,RS_GCF_002116695.1,0,99.98,1.33,Specific,100,0.6,217,c__Thermoprotei (UID147),168,0,2325621,86.53592626205459,1,822904,30.620105281449455,2687463,RS_GCF_002116695.1,TRUE,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus manzaensis,not type material,none,FALSE,1,1,2687463,2687463,2687463,1,3029,NZ_CP020477.1,none,0,none,none,2900,5356,0,100,CP020477.2237741.2240640,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus manzaensis,2687463,2687463,FALSE,FALSE,TRUE,2687463,2687463,Complete Genome,ASM211669v1,na,PRJNA224116,SAMN06640543,none,none,China: Tenchong Yunnan,2017-05-01,GCA_002116695.1,none,full,na,volcanic hot spring,none,1,0,Acidianus manzaensis,none,representative genome,3,1,1,2687463,2687463,2687463,2017-05-01,0,282676,1,YN-25,"Cental South University, China",d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus manzaensis,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Acidianus;s__Acidianus manzaensis,0,2687463,11,46,na,2687463,0,na,2776,1,2687463,1,none,none,none,none,none,none,1497,NZ_CP020477.1,1497,2765,0,100,CP020477.2236032.2237533,Archaea;Thermoproteota;Thermoproteia;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus manzaensis,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Acidiplasma aeolicum,507754,V,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,NA,15,45,NA,NA,65,50,12,RS_GCF_001399695.1,0,98.24,1.4,Specific,97.15,3.25,186,p__Euryarchaeota (UID3),123,0,1573545,90.08209343996704,483,600469,34.37556890066923,1746790,RS_GCF_001402945.1,FALSE,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Acidiplasma;s__Acidiplasma aeolicum,type strain of species,LPSN,TRUE,75,75,42578,42578,4240,1,2884,NZ_LJCQ01000068.1,13790,1,110,NZ_LJCQ01000063.1,2884,5326,0,100,LKBH01000297.308.3202,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;Acidiplasma cupricumulans,3616,3616,TRUE,FALSE,FALSE,6631,6631,Contig,ASM139969v1,na,PRJNA224116,SAMN03274863,483,6631,Italy: Vulcano Island,2015-10-19,GCA_001399695.1,none,full,na,Hydrothermal pool,none,0,0,Acidiplasma aeolicum,1834,na,3,none,none,none,none,none,2015-10-19,0,507754,1,V,California Institute of Technology,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Ferroplasmaceae;g__Acidiplasma;s__Acidiplasma aeolicum,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Ferroplasmaceae;g__Acidiplasma;s__Acidiplasma aeolicum,0,1746790,11,43,assembly from type material,1746790,0,LJCQ00000000.1,1902,483,7920,1,1443,2630,0,99.584,665536,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Picrophilaceae;g__Ferroplasma;s__cupricumulans,1468,NZ_LJCQ01000190.1,1443,2630,0,99.584,AY907888.1.1445,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;Acidiplasma cupricumulans,0,19,43,0,TRUE,FALSE,NA,NA,NA,NA
Acidiplasma aeolicum,507754,V,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,NA,15,45,NA,NA,65,50,12,RS_GCF_001402945.1,0,99.26,1.07,Specific,98.37,4.88,186,p__Euryarchaeota (UID3),123,16.67,1576286,88.61010252959552,296,604503,33.98182360907099,1778901,RS_GCF_001402945.1,TRUE,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Acidiplasma;s__Acidiplasma aeolicum,type strain of species,LPSN,TRUE,45,45,51578,51578,10986,1,2884,NZ_LKBG01000246.1,51578,1,110,NZ_LKBG01000001.1,2884,5326,0,100,LKBH01000297.308.3202,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;Acidiplasma cupricumulans,6009,6009,TRUE,FALSE,FALSE,11566,11566,Contig,ASM140294v1,na,PRJNA224116,SAMN04087216,296,11566,Italy: Island Vulcano,2015-10-22,GCA_001402945.1,none,full,na,hydrothermal pool (sand/gravel),none,0,0,Acidiplasma aeolicum,1856,representative genome,3,none,none,none,none,none,2015-10-22,0,507754,1,VT,RIPCM,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Ferroplasmaceae;g__Acidiplasma;s__Acidiplasma aeolicum,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Ferroplasmaceae;g__Acidiplasma;s__Acidiplasma aeolicum,0,1778901,11,46,assembly from type material,1778901,0,LKBG00000000.1,1947,296,22835,1,1443,2630,0,99.584,665536,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Picrophilaceae;g__Ferroplasma;s__cupricumulans,1468,NZ_LKBG01000012.1,1443,2630,0,99.584,AY907888.1.1445,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;Acidiplasma cupricumulans,0,19,46,0,TRUE,FALSE,NA,NA,NA,NA
Acidiplasma cupricumulans,312540,BH2,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,NA,22,53.6,NA,NA,63,41,13,RS_GCF_001402935.1,0,99.16,0.81,Specific,98.78,2.44,186,p__Euryarchaeota (UID3),123,0,1561323,90.19378698566672,312,591430,34.16545547393644,1731076,RS_GCF_001402945.1,FALSE,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Acidiplasma;s__Acidiplasma aeolicum,type strain of species,LPSN,FALSE,50,50,55811,55811,10986,1,2884,NZ_LKBH01000297.1,13796,1,110,NZ_LKBH01000012.1,2884,5326,0,100,LKBH01000297.308.3202,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;Acidiplasma cupricumulans,5548,5548,TRUE,FALSE,FALSE,10080,10080,Contig,ASM140293v1,na,PRJNA224116,SAMN04087217,312,10080,Myanmar,2015-10-22,GCA_001402935.1,none,full,na,mineral sulfide ore,none,0,0,Acidiplasma cupricumulans,1775,representative genome,3,none,none,none,none,none,2015-10-22,0,312540,1,BH2,RIPCM,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Ferroplasmaceae;g__Acidiplasma;s__Acidiplasma cupricumulans,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Ferroplasmaceae;g__Acidiplasma;s__Acidiplasma cupricumulans,0,1731076,11,45,assembly from type material,1731076,0,LKBH00000000.1,1835,312,10580,1,1443,2636,0,99.653,665536,k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__Thermoplasmatales;f__Picrophilaceae;g__Ferroplasma;s__cupricumulans,1468,NZ_LKBH01000298.1,1443,2636,0,99.653,AY907888.1.1445,Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmataceae;Acidiplasma;Acidiplasma cupricumulans,0,19,45,0,TRUE,FALSE,NA,NA,NA,NA
