genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Acidianus ambivalens,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,70,80,87,770935,34.23293770456571,2252027,RS_GCF_009729015.1,2012416,89.3602074930718,SAMN09933089,Iceland: Leihnukur fissure,Solfataric mud from Leihnukur fissure in Iceland,none,TRUE,0,Acidianus ambivalens,none,3,47,2647,19,47,99.9,0.61
Acidianus brierleyi,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,45,70,75,940248,31.902618174810097,2947244,RS_GCF_003201835.2,2547003,86.41982136531621,SAMN09071529,USA: Yellowstone National Park; Wyoming,drainage system from an acidic hot spring,none,TRUE,0,Acidianus brierleyi,3120,3,46,3263,19,46,100,0.55
Acidianus infernus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,65,90,96,763676,34.36245452017491,2222414,RS_GCF_009729545.1,1957922,88.0988870660462,SAMN09933090,Italy: Pisciarelli Solfatara; Naples,fissure at Pisciarelli solfatara near Naples; Italy,none,TRUE,0,Acidianus infernus,none,3,46,2443,19,46,99.98,0.41
Acidianus manzaensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,60,80,90,822904,30.620105281449455,2687463,RS_GCF_002116695.1,2325621,86.53592626205459,SAMN06640543,China: Tenchong Yunnan,volcanic hot spring,none,TRUE,0,Acidianus manzaensis,none,3,46,2776,19,46,99.98,1.33
Acidianus sulfidivorans,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,45,74,83,703698,31.064106486135003,2265309,RS_GCF_003201765.2,1987676,87.74414439707783,SAMN09071530,Papua New Guinea: Lihr Island,Edge of acidic hot spring,none,TRUE,0,Acidianus sulfidivorans JP7,2312,3,46,2333,19,46,99.95,0.03
Acidilobus saccharovorans,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,60,82.5,90,856231,57.21736666637709,1496453,RS_GCF_000144915.1,1358405,90.77498591669767,SAMN02603091,Russia: Kamchatka,solfataric field of Uzon caldera,none,TRUE,0,Acidilobus saccharovorans 345-15,1480,3,46,1502,19,46,99.96,0.39
Acidiplasma aeolicum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,15,45,65,604503,33.98182360907099,1778901,RS_GCF_001402945.1,1576286,88.61010252959552,SAMN04087216,Italy: Island Vulcano,hydrothermal pool (sand/gravel),none,TRUE,0,Acidiplasma aeolicum,1856,3,46,1947,19,46,99.26,1.07
Acidiplasma cupricumulans,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,22,53.6,63,591430,34.16545547393644,1731076,RS_GCF_001402935.1,1561323,90.19378698566672,SAMN04087217,Myanmar,mineral sulfide ore,none,FALSE,0,Acidiplasma cupricumulans,1775,3,45,1835,19,45,99.16,0.81
Aciduliprofundum boonei,Archaea,Euryarchaeota,NA,NA,NA,Aciduliprofundum,55,70,75,543529,39.32901834653275,1382115,GB_GCA_013329755.1,1310908,94.84796851202684,SAMN13193044,none,none,none,FALSE,0,Candidatus Aciduliprofundum boonei,none,2,46,1496,19,46,97.62,0.11
Aeropyrum camini,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,70,85,97,905440,56.73204285229142,1595994,RS_GCF_000591035.1,1420620,89.01161282561213,SAMD00061006,none,none,none,TRUE,0,Aeropyrum camini SY1 = JCM 12091,none,3,46,1634,19,46,99.95,0.47
Aeropyrum pernix,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,70,92.5,100,904278,56.48221482127376,1601052,RS_GCF_004323575.1,1418138,88.57538668325576,SAMD00074121,Japan:Kagoshima; Ibusuki; Yamagawa Beach,sediment,31.1058 N 130.3659 E,FALSE,0,Aeropyrum pernix,none,10,45,1734,19,45,99.19,0.33
Archaeoglobus fulgidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,60,83,90,995195,48.842224393653034,2037571,RS_GCF_001508745.1,1896024,93.0531500497406,SAMN03445115,USA:Alaska; North Slope; Ivishak formation,oil reservoir sample I2,none,FALSE,0,Archaeoglobus fulgidus,none,4,45,2414,19,45,99.95,0.08
Archaeoglobus profundus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,65,82,90,656709,42.004563064506534,1563423,RS_GCF_000025285.1,1455684,93.10877478455926,SAMN00017459,none,none,none,TRUE,0,Archaeoglobus profundus DSM 5631,1805,3,47,1873,19,47,99.94,0.08
Archaeoglobus sulfaticallidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,60,75,80,898044,43.23899060681361,2076931,RS_GCF_000385565.1,1831117,88.16455626113722,SAMN02028569,none,none,none,TRUE,0,Archaeoglobus sulfaticallidus PM70-1,2210,3,51,2245,19,51,99.87,0.51
Archaeoglobus veneficus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,65,80,85,894845,47.048991478714136,1901943,RS_GCF_000194625.1,1719154,90.38935446540722,SAMN00713598,Atlantic Ocean: Mid-Atlantic Ridge,Black smoker wall; 3500 m depth,none,TRUE,0,Archaeoglobus veneficus SNP6,2101,3,46,2153,19,46,99.99,0.11
