genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Abditibacterium utsteinense,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abitibacteriaceae,Abditibacterium,1,16.5,45,1957098,54.26839632856774,3606331,RS_GCF_002973605.1,3208066,88.95650454714223,SAMN07179262,Antarctica:Utsteinen,top surface soil,none,TRUE,1,Abditibacterium utsteinense,3205,3,45,3205,19,45,92.11,0.04
Absiella dolichum,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absiella,30,37,45,854284,38.36071875044904,2226976,RS_GCF_022137265.1,1971519,88.52897381920596,SAMN24725984,USA: Chicago,human fecal sample,none,FALSE,1,Amedibacillus dolichus,none,4,41,2254,19,41,98.19,0.31
Abyssibacter profundi,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Abyssibacter,10,37,45,2362654,63.14955271648327,3741513,RS_GCF_003151135.1,3445085,92.07732273013616,SAMN09010082,Northern Mariana Islands: Mariana Trench,seawater at 1000 m,none,TRUE,1,Abyssibacter profundi,3371,4,45,3389,19,45,99.75,0.02
Abyssicoccus albus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Abyssicoccus,5,28,40,613598,34.16367213903368,1796177,RS_GCF_003815035.1,1588499,88.43777645521571,SAMN10362902,none,none,none,TRUE,1,Abyssicoccus albus,none,5,54,1780,19,54,100,0.21
Acanthopleuribacter pedis,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,15,30,30,6218097,57.31725156912516,10848561,RS_GCF_017377855.1,9223774,85.02301826020981,SAMN18274866,Japan: Chiba,none,none,TRUE,1,Acanthopleuribacter pedis,none,8,65,6863,19,63,94.05,4.39
Acaricomes phytoseiuli,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Acaricomes,15,25,30,1477712,62.46526330562288,2365654,RS_GCF_025917785.1,2124229,89.79457689078792,SAMN31142803,China,Mite,39.92 N 116.63 E,FALSE,0,Acaricomes phytoseiuli,none,5,45,2351,19,45,99.98,0.05
Acaryochloris marina,Bacteria,Cyanobacteria,NA,Synechococcales,Acaryochloridaceae,Acaryochloris,20,29,35,3327515,46.78225310750857,7112772,RS_GCF_018336915.1,6008873,84.48004519194485,SAMN15662376,USA: Shelter Cove; CA,surface of Pikea pinnata,none,TRUE,1,Acaryochloris marina S15,none,6,71,6507,19,67,99.09,2.58
Acetanaerobacterium elongatum,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium,30,37,42,1429234,49.03041000070326,2916215,RS_GCF_900103835.1,2499076,85.69587633284925,SAMN05192585,none,none,none,TRUE,1,Acetanaerobacterium elongatum,2786,4,51,2777,19,51,97.2,0.87
Acetitomaculum ruminis,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum,34,38,43,1052826,34.19744051731446,3082721,RS_GCF_900112085.1,2666606,86.50169768850311,SAMN05216249,none,none,none,TRUE,1,Acetitomaculum ruminis DSM 5522,2639,8,40,2644,16,40,98.57,0.3
Acetivibrio cellulolyticus,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Hungateiclostridium,20,35,40,2184827,35.54580802019227,6156735,RS_GCF_000179595.2,5245063,85.19228129844797,SAMN02256541,Canada,sewage sludge,none,TRUE,1,Acetivibrio cellulolyticus CD2,4976,11,59,5007,19,61,100,3.72
